Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp
community	2	Erythromycin	0	Dicumarol	40	0.895761036427134	PM
community	2	Erythromycin	0	Dicumarol	80	0.691314784110673	PM
community	2	Erythromycin	0	Dicumarol	160	0.124803312459972	PM
community	2	Erythromycin	3.15	Benzbromarone	0	0.00495572640692104	PM
community	2	Erythromycin	3.15	Benzbromarone	10	0.0103608964884774	PM
community	2	Erythromycin	3.15	Benzbromarone	20	0.00704461323058514	PM
community	2	Erythromycin	3.15	Benzbromarone	40	0.00226250189311417	PM
community	2	Erythromycin	3.15	Benzbromarone	80	0.00624305369022862	PM
community	2	Erythromycin	3.15	Benzbromarone	160	0.00664152842691372	PM
community	2	Erythromycin	3.15	Benzbromarone	320	0.00491790759056901	PM
community	2	Erythromycin	3.15	Benzbromarone	640	0.00492412751113263	PM
community	2	Erythromycin	2.65	Benzbromarone	0	0.0112907569483572	PM
community	2	Erythromycin	2.65	Benzbromarone	10	0.00969671044570615	PM
community	2	Erythromycin	2.65	Benzbromarone	20	0.0106264233496752	PM
community	2	Erythromycin	2.65	Benzbromarone	40	0.00332078265794568	PM
community	2	Erythromycin	2.65	Benzbromarone	80	0.00863408655522752	PM
community	2	Erythromycin	2.65	Benzbromarone	160	0.00677436563546797	PM
community	2	Erythromycin	2.65	Benzbromarone	320	0.00385213149216271	PM
community	2	Erythromycin	2.65	Benzbromarone	640	0.00677432874649031	PM
community	2	Erythromycin	2.15	Benzbromarone	0	0.0157441515514935	PM
community	2	Erythromycin	2.15	Benzbromarone	10	0.0154084521906953	PM
community	2	Erythromycin	2.15	Benzbromarone	20	0.0158974142596869	PM
community	2	Erythromycin	2.15	Benzbromarone	40	0.0168694770399037	PM
community	2	Erythromycin	2.15	Benzbromarone	80	0.00451620686800097	PM
community	2	Erythromycin	2.15	Benzbromarone	160	0.00664156531589138	PM
community	2	Erythromycin	2.15	Benzbromarone	320	0.00451620686800099	PM
community	2	Erythromycin	2.15	Benzbromarone	640	0.00637589089878288	PM
community	2	Erythromycin	1.65	Benzbromarone	0	0.0154181821698832	PM
community	2	Erythromycin	1.65	Benzbromarone	10	0.0583485860706341	PM
